START_NODE
425, 52
DELIVERY_NODES
193, 300
184, 101
152, 167
209, 218
39, 422
98, 428
340, 245
69, 129
339, 39
225, 68
133, 23
418, 275
478, 204
130, 402
3, 108
387, 394
146, 453
217, 460
223, 428
424, 389
190, 252
303, 23
21, 136
324, 14
12, 420
344, 372
52, 338
283, 150
50, 397
81, 381
315, 399
444, 138
485, 5
402, 319
489, 275
24, 250
341, 409
293, 67
206, 365
292, 385
374, 263
193, 50
387, 314
34, 446
480, 20
27, 163
254, 272
333, 263
411, 396
303, 273
135, 452
456, 169
91, 423
444, 195
87, 77
102, 460
385, 348
307, 69
304, 101
88, 89
88, 34
164, 326
78, 449
41, 276
160, 302
89, 138
320, 286
132, 446
165, 446
96, 335
356, 412
202, 153
61, 225
444, 30
18, 255
373, 429
185, 170
92, 172
77, 482
161, 498
32, 287
482, 359
404, 270
74, 224
379, 424
364, 300
290, 490
27, 442
409, 495
339, 492
21, 366
100, 396
68, 339
375, 93
267, 229
196, 74
394, 244
307, 423
347, 348
20, 41
