START_NODE
143, 149
DELIVERY_NODES
247, 64
250, 26
353, 52
377, 39
232, 55
382, 145
355, 2
356, 184
279, 151
262, 87
294, 213
353, 63
377, 175
357, 157
246, 174
313, 161
377, 48
321, 224
304, 95
243, 94
240, 107
201, 162
331, 34
294, 99
285, 62
227, 58
371, 50
361, 91
245, 99
333, 116
389, 96
331, 144
389, 155
315, 39
357, 1
296, 169
246, 58
340, 57
341, 44
229, 37
348, 161
288, 155
332, 165
347, 145
395, 52
215, 159
351, 180
350, 165
394, 67
204, 25
349, 68
223, 97
251, 63
328, 43
270, 98
314, 153
238, 130
232, 152
447, 84
222, 175
192, 160
371, 146
301, 222
269, 169
204, 73
224, 178
264, 188
332, 176
256, 138
298, 40
252, 82
329, 193
346, 146
302, 63
318, 189
341, 90
366, 60
314, 152
227, 179
232, 67
344, 28
391, 119
387, 203
233, 21
208, 61
285, 127
382, 38
209, 78
425, 171
277, 78
217, 134
223, 81
289, 134
369, 40
221, 159
273, 32
337, 204
256, 133
262, 45
289, 177
