START_NODE
400, 65
DELIVERY_NODES
345, 312
303, 480
404, 8
281, 372
374, 87
183, 333
376, 77
243, 267
495, 343
335, 441
373, 17
217, 5
28, 23
178, 334
370, 465
403, 457
101, 180
440, 334
98, 29
332, 161
412, 260
109, 360
109, 85
274, 439
404, 72
129, 490
151, 60
54, 328
97, 12
53, 407
189, 261
403, 355
237, 239
296, 476
242, 459
391, 463
148, 358
127, 296
6, 428
485, 244
61, 199
411, 118
253, 59
212, 259
442, 88
331, 475
112, 496
122, 107
471, 435
194, 398
323, 55
365, 4
303, 480
409, 354
73, 354
288, 47
129, 240
22, 359
227, 66
422, 207
460, 306
333, 158
365, 171
158, 268
66, 202
291, 104
282, 266
77, 131
100, 287
90, 240
291, 356
175, 90
0, 414
54, 203
132, 117
314, 463
337, 175
322, 132
46, 399
269, 286
227, 204
394, 346
139, 399
41, 365
240, 87
286, 483
24, 168
410, 373
423, 214
478, 416
378, 405
283, 76
139, 186
147, 225
128, 73
209, 318
28, 351
264, 119
457, 42
456, 21
